1.657642,2.426411,2.250658,1.871442,1.880889,2.000672,0.000000,1.699202,1.5753288
0.000000,2.349828,2.187694,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000
1.744811,2.348571,2.257305,0.000000,1.898483,1.872159,0.000000,2.081110,1.6656978
1.763794,2.488975,2.184451,1.347354,1.975680,1.862985,0.000000,1.557146,2.0195369
1.834320,2.332595,2.284675,1.877926,1.796266,1.873618,0.000000,1.740295,2.1979847
1.803323,2.363532,2.226317,1.861275,1.949921,1.485848,0.000000,0.000000,1.6278691
1.818035,2.377362,2.248900,0.000000,1.699055,1.633632,0.000000,1.845554,1.7450585
1.923859,2.315757,2.285084,1.857977,1.885107,1.800045,0.000000,0.000000,1.8889022
0.000000,2.349300,2.274772,0.000000,1.960007,1.816441,0.000000,1.800584,1.1806656
1.889635,2.335536,2.239066,1.750123,1.794778,1.813419,0.000000,1.882128,1.8758141
0.000000,2.266166,2.229575,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000
0.000000,2.346934,2.262995,0.000000,1.734314,1.823771,0.000000,1.762191,0.0000000
0.000000,2.401078,2.223017,0.000000,0.000000,0.000000,2.124679,2.211295,2.0990287
0.000000,2.364345,2.239992,0.000000,2.000702,0.000000,0.000000,0.000000,0.0000000
2.228908,2.388228,2.347197,2.045847,0.000000,2.428368,2.091992,0.000000,2.1444819
2.071697,2.328035,2.243848,1.843173,1.676059,2.202993,2.207680,2.022779,0.0000000
1.896454,2.312810,2.249755,1.895370,1.949808,2.219108,0.000000,1.997167,0.0000000
0.000000,2.338487,2.295729,1.687281,1.868600,1.913081,0.000000,0.000000,0.0000000
0.000000,2.331561,2.261009,0.000000,2.094463,0.000000,0.000000,0.000000,0.0000000
1.786844,2.436273,2.224093,1.737652,1.672747,1.828590,0.000000,1.884937,1.6893920
1.685759,2.352975,2.154505,1.594272,1.837678,1.956662,0.000000,0.000000,0.0000000
1.790243,2.325366,2.215460,1.776547,1.914310,1.744981,0.000000,1.859301,0.0000000
1.752084,2.336622,2.178967,1.706601,1.825796,1.969486,0.000000,0.000000,0.0000000
1.580364,2.349065,2.145892,1.565412,1.829443,1.593428,0.000000,0.000000,0.0000000
1.665542,2.320308,2.222790,1.783135,1.840306,2.375367,0.000000,1.742625,0.0000000
