4.57872353597311,0,0
0,6.19072515795886,0
4.76294286986063,0,0
4.87029985396936,0,0
0,0,0
0,4.58893917287767,0
3.05163990549229,2.37117788445966,0
0,0,0
5.23569700456637,4.84032135642658,0
0,0,0
4.80147682734871,0,0
0,0,0
0,0,0
0,0,0
3.91999117507732,4.63928171561686,3.36798524745604
0,5.12539153139444,2.51688969564105
0,5.0370824641111,4.99430263947536
0,0,5.73469957729092
5.43568514084084,0,0
0,0,4.82366293908687
4.69920682791447,4.69006265300605,0
4.73206711917644,4.58557953622309,3.18924101973851
5.74633097790216,2.58097411853423,2.40694510831829
6.51901453576638,0,0
4.77017602057236,0,1.98100146886658
0,0,0
0,3.07546724157284,0
5.44802963977636,0,0
0,0,0
0,0,0
0,3.87120101090789,5.02932619253975
0,0,5.50792978357789
0,0,0
4.65033473794247,3.94893335944824,0
3.49983535155915,4.14788532915013,4.53152364581979
5.06852677251203,3.10995341764401,0
4.03300093198105,4.02302756347106,0
4.32730642247365,4.49769632768286,0
0,0,4.53528405852393
0,0,4.8235825629264
0,4.81071986890125,0
0,0,0
0,5.29631536387736,0
0,0,0
0,0,0
4.59127408079598,5.0348725184603,0
0,0,0
0,5.14289087321673,0
0,0,0
5.40600517196495,6.08700197381705,5.18738580584075
0,5.03083000138177,5.12622332990952
4.16805960004438,5.36830973836807,0
0,3.40286266098122,0
0,0,0
0,3.92888012249457,0
0,4.79048725176184,0
4.62428630318032,0,0
0,0,0
0,0,0
4.94249919832929,5.97972085915081,0
0,0,0
0,0,0
0,0,0
5.69022431005735,0,3.1393996233664
5.25279685124623,0,0
4.33467293829041,0,0
4.48548534304211,0,0
5.80724118302443,0,5.06088471049938
0,0,0
0,0,4.96507989243675
0,0,0
0,0,3.0750054544485
5.68937924434546,0,0
4.10627313308737,4.76499047743553,0
5.67280767035677,2.51203531717625,4.63831478458039
3.62086824349739,0,0
3.69659957712907,3.80265446837278,0
0,0,0
3.85566427175876,0,0
5.29566384908247,0,0
5.51048085701908,0,2.07944154167984
5.66240477020222,0,5.52764177693733
5.03467728857649,0,0
0,0,0
0,0,0
0,4.39185319549162,0
5.05235288744812,4.23671180350902,0
0,0,0
4.69519368863568,4.35195395041759,2.45444744230329
4.50788806318154,3.93025577368921,0
4.98175559454561,0,0
4.96494033483413,0,0
0,5.47415964474423,5.79011306440722
4.98079445208523,0,0
5.45326772654586,6.4162092699481,0
5.49901078902465,4.23555473077362,0
0,0,0
5.64226161800795,0,0
0,3.66842161221154,2.18041745901984
0,4.56674115936831,0
0,0,0
0,0,0
0,0,0
0,0,5.94392734765032
0,0,0
0,0,0
0,2.78068089213712,6.10573029323633
0,0,0
0,4.55881206200994,0
0,5.399519247057,0
0,5.20548910423684,0
0,0,4.65291218197351
0,0,0
3.79750961863939,4.82615140113762,0
0,0,0
0,0,0
0,7.033603481347,0
0,5.02670547427375,0
0,0,0
0,0,0
0,0,0
3.49195174493062,3.26308407953252,0
0,4.83365942362705,0
0,0,0
0,0,0
0,0,0
0,5.04580936910391,0
0,3.97612393083467,0
0,0,0
0,0,0
6.25219285874946,0,0
0,0,0
6.1236325106854,4.52471906159046,0
0,3.77345035556421,0
0,0,0
4.14345213632913,0,0
5.18716231718187,0,0
0,5.42239168164996,0
5.9596900420088,4.30985908637182,0
0,5.45979825747014,4.47323751472727
0,0,4.763199050213
0,0,0
3.9716117968398,0,0
6.12730577001939,0,5.06827507354267
4.4939033735595,0,0
5.07147949964556,6.37705002495531,4.90771624008841
0,5.09540527213807,0
0,3.86094021519883,0
5.47784335270652,0,3.26001776819938
4.71357605983188,5.62654139431275,4.54009818924438
0,0,0
4.6837040636422,0,0
5.34046648005619,0,0
0,4.14075093503626,0
0,4.6317147412102,0
5.59504589613565,0,0
0,0,0
0,0,0
5.3626058564304,3.80976877138939,0
4.47426391614029,0,0
0,4.9469852670198,0
0,0,0
0,6.28336894299298,0
4.62742079492291,4.30095214489621,0
0,0,0
5.48541914651498,0,0
5.0871023860991,4.09866853370216,0
4.52861306326594,0,0
4.3492451451495,3.28241384567219,0
0,0,0
0,0,0
0,0,0
4.96661374200193,0,0
0,3.71284009155878,0
0,0,0
0,6.88511081749758,0
4.57995493684703,5.45335336864757,0
0,0,0
0,0,0
0,0,0
0,4.80123026889256,0
5.67579443811603,0,0
0,0,0
0,0,0
0,0,0
4.19795354484112,3.44967003511293,0
0,6.63277881402788,0
0,0,0
